_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-12,COVID345,M1,1,0,COVID,200,RNA_Wilk_B-cells_patient-C5_Up,,-12,9.4,12,28160,116,464,18,3.9,0.9,2537|3434|3437|3512|3669|4599|4938|4940|6772|8743|9636|10410|10561|10964|51056|54739|91543|219285,IFI6|IFIT1|IFIT3|JCHAIN|ISG20|MX1|OAS1|OAS3|STAT1|TNFSF10|ISG15|IFITM3|IFI44|IFI44L|LAP3|XAF1|RSAD2|SAMD9L,-9.2,0
1,-12,COVID040,M1,1,0,COVID,200,RNA_Sun_Calu-3_24h_Up,,-12,5.5,10,28160,300,464,27,5.8,1.1,1843|3433|3434|3437|3669|4599|4600|4940|6772|7699|8334|8638|10346|10561|10964|11080|23586|24138|51191|51251|54809|55601|64135|91351|91543|129607|152926,DUSP1|IFIT2|IFIT1|IFIT3|ISG20|MX1|MX2|OAS3|STAT1|ZNF140|H2AC6|OASL|TRIM22|IFI44|IFI44L|DNAJB4|DDX58|IFIT5|HERC5|NT5C3A|SAMD9|DDX60|IFIH1|DDX60L|RSAD2|CMPK2|PPM1K,-9.1,0
1,-11,COVID026,M1,1,0,COVID,200,RNA_Lamers_intestinal-organoid_differentiated_Up,,-11,19,14,28160,36,464,11,2.4,0.71,1514|2537|3437|4502|4599|8638|9636|10410|11277|51191|84310,CTSL|IFI6|IFIT3|MT2A|MX1|OASL|ISG15|IFITM3|TREX1|HERC5|C7orf50,-8.2,0
1,-11,COVID020,M1,1,0,COVID,200,RNA_Blanco-Melo_NHBE_Up,,-11,11,12,28160,85,464,15,3.2,0.82,597|684|2537|3665|4050|4599|4600|4938|4940|8519|8740|10379|54739|85441|94240,BCL2A1|BST2|IFI6|IRF7|LTB|MX1|MX2|OAS1|OAS3|IFITM1|TNFSF14|IRF9|XAF1|HELZ2|EPSTI1,-8.2,0
1,-9.4,COVID262,M1,1,0,COVID,200,RNA_Wilk_CD16+Monocytes_patient-C1B-severe_Up,,-9.4,14,11,28160,49,464,11,2.4,0.71,2537|3105|4599|4940|5359|6772|7076|10410|10561|10964|55303,IFI6|HLA-A|MX1|OAS3|PLSCR1|STAT1|TIMP1|IFITM3|IFI44|IFI44L|GIMAP4,-6.6,0
1,-8.3,COVID246,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C1B-severe_Up,,-8.3,9.5,9.6,28160,77,464,12,2.6,0.74,1191|2537|3105|4599|4600|4940|8875|10410|10561|10581|10964|54739,CLU|IFI6|HLA-A|MX1|MX2|OAS3|VNN2|IFITM3|IFI44|IFITM2|IFI44L|XAF1,-5.6,0
1,-7.9,COVID361,M1,1,0,COVID,200,RNA_Zhang_B-cells_moderate-only_Up,,-7.9,17,11,28160,28,464,8,1.7,0.6,1974|5790|51131|51246|51251|51510|55601|91543,EIF4A2|PTPRCAP|PHF11|SHISA5|NT5C3A|CHMP5|DDX60|RSAD2,-5.2,0
1,-7.5,COVID030,M1,1,0,COVID,200,RNA_Liao_BALF-mild_Up,,-7.5,4.2,7.3,28160,300,464,21,4.5,0.97,1191|2848|3669|3823|4509|4599|5790|8519|10410|11274|11277|27074|28669|28683|28684|28692|81030|84941|85441|91543|445815,CLU|GPR25|ISG20|KLRC3|ATP8|MX1|PTPRCAP|IFITM1|IFITM3|USP18|TREX1|LAMP3|TRAV14DV4|TRAV8-3|TRAV8-2|TRAV1-2|ZBP1|HSH2D|HELZ2|RSAD2|PALM2AKAP2,-4.8,0
1,-6.9,COVID284,M1,1,0,COVID,200,RNA_Wilk_Dendritic-cells_patient-C6_Up,,-6.9,23,11,28160,16,464,6,1.3,0.52,3434|4599|9636|10561|10964|91543,IFIT1|MX1|ISG15|IFI44|IFI44L|RSAD2,-4.2,0
1,-6.8,COVID032,M1,1,0,COVID,200,RNA_Liao_BALF-severe_Up,,-6.8,4,6.9,28160,300,464,20,4.3,0.94,1191|3507|3665|3669|4599|4600|5790|8519|10410|10581|11274|11277|51513|81030|84941|85027|85441|91543|389289|445815,CLU|IGHM|IRF7|ISG20|MX1|MX2|PTPRCAP|IFITM1|IFITM3|IFITM2|USP18|TREX1|ETV7|ZBP1|HSH2D|SMIM3|HELZ2|RSAD2|ANXA2R|PALM2AKAP2,-4.1,0
