_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-27,COVID297,M1,1,0,COVID,200,RNA_Wilk_NK-cells_patient-C5_Up,,-27,27,24,28160,52,455,23,5.1,1,2537|3434|3437|3669|4599|4600|4938|4940|5359|5610|6773|6966|6967|9636|10346|10561|10964|51191|54739|54809|91543|94240|219285,IFI6|IFIT1|IFIT3|ISG20|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|STAT2|TRGC1|TRGC2|ISG15|TRIM22|IFI44|IFI44L|HERC5|XAF1|SAMD9|RSAD2|EPSTI1|SAMD9L,-24,0
1,-27,COVID017,M1,1,0,COVID,200,RNA_Blanco-Melo_Lung_Down,,-27,9.6,18,28160,259,455,40,8.8,1.3,241|597|2207|2537|3433|3434|3437|3965|4599|4600|4938|4940|5610|7305|8519|8638|9050|9246|9636|10410|10581|10875|10964|24138|27074|51191|54809|64108|64407|81030|84941|91351|91543|93979|94240|114769|118788|121355|219285|389289,ALOX5AP|BCL2A1|FCER1G|IFI6|IFIT2|IFIT1|IFIT3|LGALS9|MX1|MX2|OAS1|OAS3|EIF2AK2|TYROBP|IFITM1|OASL|PSTPIP2|UBE2L6|ISG15|IFITM3|IFITM2|FGL2|IFI44L|IFIT5|LAMP3|HERC5|SAMD9|RTP4|RGS18|ZBP1|HSH2D|DDX60L|RSAD2|CPA5|EPSTI1|CARD16|PIK3AP1|GTSF1|SAMD9L|ANXA2R,-23,0
1,-27,COVID239,M1,1,0,COVID,200,RNA_Lieberman_Nasopharynx_Infected_vs_Neg_Up,,-27,32,25,28160,41,455,21,4.6,0.98,3433|3434|3437|4599|4600|4938|4940|6303|8519|8638|8807|9246|10410|10561|10964|51191|54739|64859|91351|91543|94240,IFIT2|IFIT1|IFIT3|MX1|MX2|OAS1|OAS3|SAT1|IFITM1|OASL|IL18RAP|UBE2L6|IFITM3|IFI44|IFI44L|HERC5|XAF1|NABP1|DDX60L|RSAD2|EPSTI1,-23,0
1,-26,COVID254,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C5_Up,,-26,17,21,28160,104,455,28,6.2,1.1,1191|2537|3433|3434|3437|3665|4061|4599|4600|4938|4940|5359|5610|9636|10346|10410|10561|10581|10964|51056|54739|54809|91351|91543|94240|129607|219285|729230,CLU|IFI6|IFIT2|IFIT1|IFIT3|IRF7|LY6E|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|ISG15|TRIM22|IFITM3|IFI44|IFITM2|IFI44L|LAP3|XAF1|SAMD9|DDX60L|RSAD2|EPSTI1|CMPK2|SAMD9L|CCR2,-22,0
1,-25,COVID282,M1,1,0,COVID,200,RNA_Wilk_Dendritic-cells_patient-C5_Up,,-25,20,21,28160,73,455,24,5.3,1,2537|3433|3434|3437|4061|4599|4600|4940|5359|5610|8519|9636|10410|10561|10581|10964|51056|54739|54809|91351|91543|94240|219285|729230,IFI6|IFIT2|IFIT1|IFIT3|LY6E|MX1|MX2|OAS3|PLSCR1|EIF2AK2|IFITM1|ISG15|IFITM3|IFI44|IFITM2|IFI44L|LAP3|XAF1|SAMD9|DDX60L|RSAD2|EPSTI1|SAMD9L|CCR2,-21,0
1,-23,COVID256,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C6_Up,,-23,12,18,28160,154,455,30,6.6,1.2,597|1191|2537|3433|3434|3437|3965|4061|4599|4600|4938|4940|5359|5610|8638|9636|10346|10410|10561|10581|10964|51056|54739|54809|91351|91543|94240|129607|219285|729230,BCL2A1|CLU|IFI6|IFIT2|IFIT1|IFIT3|LGALS9|LY6E|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|OASL|ISG15|TRIM22|IFITM3|IFI44|IFITM2|IFI44L|LAP3|XAF1|SAMD9|DDX60L|RSAD2|EPSTI1|CMPK2|SAMD9L|CCR2,-20,0
1,-23,COVID014,M1,1,0,COVID,200,RNA_Blanco-Melo_A549-low-MOI_Up,,-23,32,23,28160,35,455,18,4,0.91,2537|3430|3433|3434|3437|3665|4599|4938|4940|5359|5610|8638|9636|10379|54809|85441|129607|219285,IFI6|IFI35|IFIT2|IFIT1|IFIT3|IRF7|MX1|OAS1|OAS3|PLSCR1|EIF2AK2|OASL|ISG15|IRF9|SAMD9|HELZ2|CMPK2|SAMD9L,-20,0
1,-22,COVID313,M1,1,0,COVID,200,RNA_Wilk_CD8+T-cells_patient-C5_Up,,-22,27,22,28160,43,455,19,4.2,0.94,2537|3434|3437|3669|4599|4600|4938|4940|5359|5610|9636|10346|10561|10964|54739|54809|91543|94240|219285,IFI6|IFIT1|IFIT3|ISG20|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|ISG15|TRIM22|IFI44|IFI44L|XAF1|SAMD9|RSAD2|EPSTI1|SAMD9L,-19,0
1,-22,COVID329,M1,1,0,COVID,200,RNA_Wilk_CD4+T-cells_patient-C5_Up,,-22,29,22,28160,38,455,18,4,0.91,2537|3434|3437|4599|4600|4938|4940|5610|9636|10346|10410|10561|10964|54739|54809|91543|94240|219285,IFI6|IFIT1|IFIT3|MX1|MX2|OAS1|OAS3|EIF2AK2|ISG15|TRIM22|IFITM3|IFI44|IFI44L|XAF1|SAMD9|RSAD2|EPSTI1|SAMD9L,-19,0
1,-22,COVID241,M1,1,0,COVID,200,RNA_Lieberman_Nasopharynx_High_vs_Low_Up,,-22,11,16,28160,173,455,30,6.6,1.2,2537|3430|3433|3434|3437|4502|4599|4938|4940|5359|6993|8638|9246|10561|10964|11274|24138|26010|27074|51056|51191|51513|54809|55603|55876|64108|91543|91624|129607|219285,IFI6|IFI35|IFIT2|IFIT1|IFIT3|MT2A|MX1|OAS1|OAS3|PLSCR1|DYNLT1|OASL|UBE2L6|IFI44|IFI44L|USP18|IFIT5|SPATS2L|LAMP3|LAP3|HERC5|ETV7|SAMD9|TENT5A|GSDMB|RTP4|RSAD2|NEXN|CMPK2|SAMD9L,-18,0
1,-21,COVID252,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C4_Up,,-21,17,19,28160,78,455,22,4.8,1,1191|2537|3434|3437|3507|4599|4600|4938|4940|5359|9636|10346|10410|10561|10581|10964|54739|54809|91543|94240|219285|729230,CLU|IFI6|IFIT1|IFIT3|IGHM|MX1|MX2|OAS1|OAS3|PLSCR1|ISG15|TRIM22|IFITM3|IFI44|IFITM2|IFI44L|XAF1|SAMD9|RSAD2|EPSTI1|SAMD9L|CCR2,-18,0
1,-21,COVID028,M1,1,0,COVID,200,RNA_Lamers_intestinal-organoid_expansion_Up,,-21,11,16,28160,167,455,29,6.4,1.1,2537|3430|3433|3434|3437|4599|4938|4940|5359|8519|8638|9111|9636|10346|10379|10410|10436|10561|10964|24138|51056|51191|51728|54739|54809|83998|91543|94240|129607,IFI6|IFI35|IFIT2|IFIT1|IFIT3|MX1|OAS1|OAS3|PLSCR1|IFITM1|OASL|NMI|ISG15|TRIM22|IRF9|IFITM3|EMG1|IFI44|IFI44L|IFIT5|LAP3|HERC5|POLR3K|XAF1|SAMD9|REG4|RSAD2|EPSTI1|CMPK2,-18,0
1,-19,COVID260,M1,1,0,COVID,200,RNA_Wilk_CD16+Monocytes_patient-C1A-mild_Up,,-19,17,17,28160,74,455,20,4.4,0.96,950|1026|2537|3434|3437|4502|4599|4600|4940|5359|8519|9636|10410|10561|10964|26010|54739|91543|94240|129607,SCARB2|CDKN1A|IFI6|IFIT1|IFIT3|MT2A|MX1|MX2|OAS3|PLSCR1|IFITM1|ISG15|IFITM3|IFI44|IFI44L|SPATS2L|XAF1|RSAD2|EPSTI1|CMPK2,-15,0
1,-19,COVID280,M1,1,0,COVID,200,RNA_Wilk_Dendritic-cells_patient-C4_Up,,-19,35,22,28160,25,455,14,3.1,0.81,2537|3437|3507|4599|4600|4940|10346|10410|10561|10581|10964|54739|91543|219285,IFI6|IFIT3|IGHM|MX1|MX2|OAS3|TRIM22|IFITM3|IFI44|IFITM2|IFI44L|XAF1|RSAD2|SAMD9L,-15,0
